AIR,MASS,HOLD,RESPONSE,DENIAL,RISK,n_swapped,p,n
0,0,0,0,0,0,0,0.0175,400
0,0,0,0,0,1,1,0.0175,400
0,0,0,0,1,0,1,0.0175,400
0,0,0,1,0,0,1,0.0225,400
0,0,1,0,0,0,1,0.0575,400
0,1,0,0,0,0,1,0.0275,400
1,0,0,0,0,0,1,0.03,400
0,0,0,0,1,1,2,0.0175,400
0,0,0,1,0,1,2,0.0225,400
0,0,0,1,1,0,2,0.0225,400
0,0,1,0,0,1,2,0.0575,400
0,0,1,0,1,0,2,0.0575,400
0,0,1,1,0,0,2,0.1775,400
0,1,0,0,0,1,2,0.0275,400
0,1,0,0,1,0,2,0.0275,400
0,1,0,1,0,0,2,0.04,400
0,1,1,0,0,0,2,0.1475,400
1,0,0,0,0,1,2,0.03,400
1,0,0,0,1,0,2,0.03,400
1,0,0,1,0,0,2,0.0325,400
1,0,1,0,0,0,2,0.1875,400
1,1,0,0,0,0,2,0.045,400
0,0,0,1,1,1,3,0.0225,400
0,0,1,0,1,1,3,0.0575,400
0,0,1,1,0,1,3,0.1775,400
0,0,1,1,1,0,3,0.1775,400
0,1,0,0,1,1,3,0.0275,400
0,1,0,1,0,1,3,0.04,400
0,1,0,1,1,0,3,0.04,400
0,1,1,0,0,1,3,0.1475,400
0,1,1,0,1,0,3,0.1475,400
0,1,1,1,0,0,3,0.275,400
1,0,0,0,1,1,3,0.03,400
1,0,0,1,0,1,3,0.0325,400
1,0,0,1,1,0,3,0.0325,400
1,0,1,0,0,1,3,0.1875,400
1,0,1,0,1,0,3,0.1875,400
1,0,1,1,0,0,3,0.2325,400
1,1,0,0,0,1,3,0.045,400
1,1,0,0,1,0,3,0.045,400
1,1,0,1,0,0,3,0.0475,400
1,1,1,0,0,0,3,0.3525,400
0,0,1,1,1,1,4,0.1775,400
0,1,0,1,1,1,4,0.04,400
0,1,1,0,1,1,4,0.1475,400
0,1,1,1,0,1,4,0.275,400
0,1,1,1,1,0,4,0.275,400
1,0,0,1,1,1,4,0.0325,400
1,0,1,0,1,1,4,0.1875,400
1,0,1,1,0,1,4,0.2325,400
1,0,1,1,1,0,4,0.2325,400
1,1,0,0,1,1,4,0.045,400
1,1,0,1,0,1,4,0.0475,400
1,1,0,1,1,0,4,0.0475,400
1,1,1,0,0,1,4,0.3525,400
1,1,1,0,1,0,4,0.3525,400
1,1,1,1,0,0,4,0.3925,400
0,1,1,1,1,1,5,0.275,400
1,0,1,1,1,1,5,0.2325,400
1,1,0,1,1,1,5,0.0475,400
1,1,1,0,1,1,5,0.3525,400
1,1,1,1,0,1,5,0.3925,400
1,1,1,1,1,0,5,0.3925,400
1,1,1,1,1,1,6,0.3925,400
